2018-06-18 17:43:15 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 17:43:15 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 17:43:15 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 17:43:15 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 17:43:15 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 17:43:19 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:64448]
2018-06-18 17:43:19 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 17:46:31 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 17:46:31 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 17:46:31 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 17:46:31 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
